ID,Title,Authors,Year,Venue,Citations,URL,PDF URL,DOI,Abstract,Keywords,Included,Exclusion Reason,Extracted At
amechanisticinterpre-2023,A Mechanistic Interpretation of Arithmetic Reasoning in Language Models using Causal Mediation Analysis,Alessandro Stolfo; Yonatan Belinkov; Mrinmaya Sachan,2023,Conference on Empirical Methods in Natural Language Processing,63,https://www.semanticscholar.org/paper/5dc15ac1c92ab7492f121471823fb13a95d273ba,https://aclanthology.org/2023.emnlp-main.435.pdf,10.18653/v1/2023.emnlp-main.435,"Mathematical reasoning in large language models (LMs) has garnered significant attention in recent work, but there is a limited understanding of how these models process and store information related to arithmetic tasks within their architecture. In order to improve our understanding of this aspect of language models, we present a mechanistic interpretation of Transformer-based LMs on arithmetic questions using a causal mediation analysis framework. By intervening on the activations of specific model components and measuring the resulting changes in predicted probabilities, we identify the subset of parameters responsible for specific predictions. This provides insights into how information related to arithmetic is processed by LMs. Our experimental results indicate that LMs process the input by transmitting the information relevant to the query from mid-sequence early layers to the final token using the attention mechanism. Then, this information is processed by a set of MLP modules, which generate result-related information that is incorporated into the residual stream. To assess the specificity of the observed activation dynamics, we compare the effects of different model components on arithmetic queries with other tasks, including number retrieval from prompts and factual knowledge questions.",arxiv:2305.15054,Yes,,2025-11-10T22:38:39.752Z
anovelclassification-2023,A Novel Classification Technique based on Formal Methods,G. Canfora; F. Mercaldo; A. Santone,2023,ACM Transactions on Knowledge Discovery from Data,5,https://www.semanticscholar.org/paper/0e6f4f74c4d83836c3cefe1d754b6bd65e2b16f9,,10.1145/3592796,"In last years, we are witnessing a growing interest in the application of supervised machine learning techniques in the most disparate fields. One winning factor of machine learning is represented by its ability to easily create models, as it does not require prior knowledge about the application domain. Complementary to machine learning are formal methods, that intrinsically offer safeness check and mechanism for reasoning on failures. Considering the weaknesses of machine learning, a new challenge could be represented by the use of formal methods. However, formal methods require the expertise of the domain, knowledge about modeling language with its semantic and mathematical rigour to specify properties. In this article, we propose a novel learning technique based on the adoption of formal methods for classification thanks to the automatic generation both of the formula and of the model. In this way the proposed method does not require any human intervention and thus it can be applied also to complex/large datasets. This leads to less effort both in using formal methods and in a better explainability and reasoning about the obtained results. Through a set of case studies from different real-world domains (i.e., driver detection, scada attack identification, arrhythmia characterization, mobile malware detection, and radiomics for lung cancer analysis), we demonstrate the usefulness of the proposed method, by showing that we are able to overcome the performances obtained from widespread classification algorithms.",,Yes,,2025-11-10T22:38:39.752Z
asystematicstudyandc-2023,A Systematic Study and Comprehensive Evaluation of ChatGPT on Benchmark Datasets,Md Tahmid Rahman Laskar; M Saiful Bari; Mizanur Rahman; Md Amran Hossen Bhuiyan; Shafiq R. Joty; J. Huang,2023,Annual Meeting of the Association for Computational Linguistics,207,https://www.semanticscholar.org/paper/d3060876d9ad4e4e50e1c88a8c04186df00f24e2,https://arxiv.org/pdf/2305.18486,10.48550/arXiv.2305.18486,"The development of large language models (LLMs) such as ChatGPT has brought a lot of attention recently. However, their evaluation in the benchmark academic datasets remains under-explored due to the difficulty of evaluating the generative outputs produced by this model against the ground truth. In this paper, we aim to present a thorough evaluation of ChatGPT's performance on diverse academic datasets, covering tasks like question-answering, text summarization, code generation, commonsense reasoning, mathematical problem-solving, machine translation, bias detection, and ethical considerations. Specifically, we evaluate ChatGPT across 140 tasks and analyze 255K responses it generates in these datasets. This makes our work the largest evaluation of ChatGPT in NLP benchmarks. In short, our study aims to validate the strengths and weaknesses of ChatGPT in various tasks and provide insights for future research using LLMs. We also report a new emergent ability to follow multi-query instructions that we mostly found in ChatGPT and other instruction-tuned models. Our extensive evaluation shows that even though ChatGPT is capable of performing a wide variety of tasks, and may obtain impressive performance in several benchmark datasets, it is still far from achieving the ability to reliably solve many challenging tasks. By providing a thorough assessment of ChatGPT's performance across diverse NLP tasks, this paper sets the stage for a targeted deployment of ChatGPT-like LLMs in real-world applications.",arxiv:2305.18486,Yes,,2025-11-10T22:38:39.752Z
assessinggpt4vonstru-2023,Assessing GPT4-V on Structured Reasoning Tasks,Mukul Singh; J. Cambronero; Sumit Gulwani; Vu Le; Gust Verbruggen,2023,arXiv.org,14,https://www.semanticscholar.org/paper/559ec2f23e7b65825b614346bdbabdfd8b56a667,,10.48550/arXiv.2312.11524,"Multi-modality promises to unlock further uses for large language models. Recently, the state-of-the-art language model GPT-4 was enhanced with vision capabilities. We carry out a prompting evaluation of GPT-4V and five other baselines on structured reasoning tasks, such as mathematical reasoning, visual data analysis, and code generation. We show that visual Chain-of-Thought, an extension of Chain-of-Thought to multi-modal LLMs, yields significant improvements over the vanilla model. We also present a categorized analysis of scenarios where these models perform well and where they struggle, highlighting challenges associated with coherent multimodal reasoning.",arxiv:2312.11524,Yes,,2025-11-10T22:38:39.752Z
assessingtheimpactof-2023,Assessing the Impact of Prompting Methods on ChatGPT's Mathematical Capabilities,Yuhao Chen; Chloe Wong; Hanwen Yang; Juan Aguenza; Sai Bhujangari; Benthan Vu; Xun Lei; Amisha Prasad; Manny Fluss; Eric Phuong; Minghao Liu; Raja Kumar; Vanshika Vats; James Davis,2023,,0,https://www.semanticscholar.org/paper/e02a4282c10c8e7329d4513bd4635635b9d3a50a,,,"This study critically evaluates the efficacy of prompting methods in enhancing the mathematical reasoning capability of large language models (LLMs). The investigation uses three prescriptive prompting methods - simple, persona, and conversational prompting - known for their effectiveness in enhancing the linguistic tasks of LLMs. We conduct this analysis on OpenAI's LLM chatbot, ChatGPT-3.5, on extensive problem sets from the MATH, GSM8K, and MMLU datasets, encompassing a broad spectrum of mathematical challenges. A grading script adapted to each dataset is used to determine the effectiveness of these prompting interventions in enhancing the model's mathematical analysis power. Contrary to expectations, our empirical analysis reveals that none of the investigated methods consistently improves over ChatGPT-3.5's baseline performance, with some causing significant degradation. Our findings suggest that prompting strategies do not necessarily generalize to new domains, in this study failing to enhance mathematical performance.",arxiv:2312.15006,Yes,,2025-11-10T22:38:39.752Z
bridgingtheresourceg-2023,Bridging the Resource Gap: Exploring the Efficacy of English and Multilingual LLMs for Swedish,Oskar Holmström; Jenny Kunz; Marco Kuhlmann,2023,RESOURCEFUL,14,https://www.semanticscholar.org/paper/322c9e4ef9dc7724935ba818c0ff38d2c3d11483,,,,,Yes,,2025-11-10T22:38:39.752Z
canlargelanguagemode-2023,Can Large Language Models Explain Themselves? A Study of LLM-Generated Self-Explanations,Shiyuan Huang; Siddarth Mamidanna; Shreedhar Jangam; Yilun Zhou; Leilani Gilpin,2023,arXiv.org,99,https://www.semanticscholar.org/paper/0f92d5a01baa449edc5592716dd639ec7868c44f,,10.48550/arXiv.2310.11207,"Large language models (LLMs) such as ChatGPT have demonstrated superior performance on a variety of natural language processing (NLP) tasks including sentiment analysis, mathematical reasoning and summarization. Furthermore, since these models are instruction-tuned on human conversations to produce""helpful""responses, they can and often will produce explanations along with the response, which we call self-explanations. For example, when analyzing the sentiment of a movie review, the model may output not only the positivity of the sentiment, but also an explanation (e.g., by listing the sentiment-laden words such as""fantastic""and""memorable""in the review). How good are these automatically generated self-explanations? In this paper, we investigate this question on the task of sentiment analysis and for feature attribution explanation, one of the most commonly studied settings in the interpretability literature (for pre-ChatGPT models). Specifically, we study different ways to elicit the self-explanations, evaluate their faithfulness on a set of evaluation metrics, and compare them to traditional explanation methods such as occlusion or LIME saliency maps. Through an extensive set of experiments, we find that ChatGPT's self-explanations perform on par with traditional ones, but are quite different from them according to various agreement metrics, meanwhile being much cheaper to produce (as they are generated along with the prediction). In addition, we identified several interesting characteristics of them, which prompt us to rethink many current model interpretability practices in the era of ChatGPT(-like) LLMs.",arxiv:2310.11207,Yes,,2025-11-10T22:38:39.752Z
codesoliloquiesforac-2023,Code Soliloquies for Accurate Calculations in Large Language Models,Shashank Sonkar; Myco Le; Xinghe Chen; Naiming Liu; D. B. Mallick; Richard Baraniuk,2023,International Conference on Learning Analytics and Knowledge,15,https://www.semanticscholar.org/paper/5558226fa14f7467d25690b97febdf0e8299e432,https://dl.acm.org/action/downloadSupplement?doi=10.1145%2F3636555.3636889&file=lak24-paper46-appendix.pdf,10.1145/3636555.3636889,"High-quality conversational datasets are crucial for the successful development of Intelligent Tutoring Systems (ITS) that utilize a Large Language Model (LLM) backend. Synthetic student-teacher dialogues, generated using advanced GPT-4 models, are a common strategy for creating these datasets. However, subjects like physics that entail complex calculations pose a challenge. While GPT-4 presents impressive language processing capabilities, its limitations in fundamental mathematical reasoning curtail its efficacy for such subjects. To tackle this limitation, we introduce in this paper an innovative stateful prompt design. Our design orchestrates a mock conversation where both student and tutorbot roles are simulated by GPT-4. Each student response triggers an internal monologue, or ‘code soliloquy’ in the GPT-tutorbot, which assesses whether its subsequent response would necessitate calculations. If a calculation is deemed necessary, it scripts the relevant Python code and uses the Python output to construct a response to the student. Our approach notably enhances the quality of synthetic conversation datasets, especially for subjects that are calculation-intensive. The preliminary Subject Matter Expert evaluations reveal that our Higgs model, a fine-tuned LLaMA model, effectively uses Python for computations, which significantly enhances the accuracy and computational reliability of Higgs’ responses.",arxiv:2309.12161,Yes,,2025-11-10T22:38:39.752Z
conic10kachallenging-2023,Conic10K: A Challenging Math Problem Understanding and Reasoning Dataset,Haoyi Wu; Wenyang Hui; Yezeng Chen; Weiqi Wu; Kewei Tu; Yi Zhou,2023,Conference on Empirical Methods in Natural Language Processing,5,https://www.semanticscholar.org/paper/b6667ba4f586489f12587446c6daaa3f09cfc539,,10.48550/arXiv.2311.05113,"Mathematical understanding and reasoning are crucial tasks for assessing the capabilities of artificial intelligence (AI). However, existing benchmarks either require just a few steps of reasoning, or only contain a small amount of data in one specific topic, making it hard to analyse AI's behaviour with reference to different problems within a specific topic in detail. In this work, we propose Conic10K, a challenging math problem dataset on conic sections in Chinese senior high school education. Our dataset contains various problems with different reasoning depths, while only the knowledge from conic sections is required. Since the dataset only involves a narrow range of knowledge, it is easy to separately analyse the knowledge a model possesses and the reasoning ability it has. For each problem, we provide a high-quality formal representation, the reasoning steps, and the final solution. Experiments show that existing large language models, including GPT-4, exhibit weak performance on complex reasoning. We hope that our findings could inspire more advanced techniques for precise natural language understanding and reasoning. Our dataset and codes are available at https://github.com/whyNLP/Conic10K.",arxiv:2311.05113,Yes,,2025-11-10T22:38:39.752Z
controllingequationa-2023,Controlling Equational Reasoning in Large Language Models with Prompt Interventions,Jordan Meadows; Marco Valentino; Andre Freitas,2023,,0,https://www.semanticscholar.org/paper/4200b8253f56de8948d20fd69e7731b92c3ac3a4,,,"This paper investigates how hallucination rates in Large Language Models (LLMs) may be controlled via a symbolic data generation framework, exploring a fundamental relationship between the rate of certain mathematical errors and types of input intervention. Specifically, we systematically generate data for a derivation generation task using a symbolic engine, applying targeted interventions to prompts to perturb features of mathematical derivations such as the surface forms of symbols, equational tree structures, and mathematical context. We then evaluate the effect of prompt interventions across a range of LLMs including fine-tuned T5 models, GPT, and LLaMa-based models. Our experiments suggest that T5-Large can outperform the few-shot performance of GPT-4 on various evaluation sets generated via the framework. However, an extensive evaluation based on human analysis, template-based error detection, and text generation metrics reveals model weaknesses beyond what the reference-based metrics singularly describe. We use these results to tie characteristic distributional footprints of interventions to the human evaluation of LLM derivation quality, potentially leading to significant control over fine-grained mathematical capabilities of language models with respect to specific types of errors.",arxiv:2307.09998,Yes,,2025-11-10T22:38:39.752Z
