ID,Title,Authors,Year,Venue,Citations,URL,PDF URL,DOI,Abstract,Keywords,Included,Exclusion Reason,Extracted At
acausalframeworktoqu-2022,A Causal Framework to Quantify the Robustness of Mathematical Reasoning with Language Models,Alessandro Stolfo; Zhijing Jin; Kumar Shridhar; B. Scholkopf; Mrinmaya Sachan,2022,Annual Meeting of the Association for Computational Linguistics,76,https://www.semanticscholar.org/paper/9b45af10429681249fafb07c3b6012ea4ce63ffe,http://arxiv.org/pdf/2210.12023,10.48550/arXiv.2210.12023,"We have recently witnessed a number of impressive results on hard mathematical reasoning problems with language models. At the same time, the robustness of these models has also been called into question; recent works have shown that models can rely on shallow patterns in the problem description when generating a solution.Building on the idea of behavioral testing, we propose a novel framework, which pins down the causal effect of various factors in the input, e.g., the surface form of the problem text, the operands, and math operators on the output solution.By grounding the behavioral analysis in a causal graph describing an intuitive reasoning process, we study the behavior of language models in terms of robustness and sensitivity to direct interventions in the input space. We apply our framework on a test bed of math word problems.Our analysis shows that robustness does not appear to continuously improve as a function of size, but the GPT-3 Davinci models (175B) achieve a dramatic improvement in both robustness and sensitivity compared to all other GPT variants.",arxiv:2210.12023,Yes,,2025-11-10T23:12:44.820Z
acontributiononrelat-2022,"A Contribution on Relationship Banking. Economic, Anthropological and Mathematical Reasoning, Empirical Evidence from Italy",Marco Desogus; Elisa Casu,2022,,6,https://www.semanticscholar.org/paper/dd88cc9b1f6d71ef82631b4e1c98c077ccdf291a,,,,,Yes,,2025-11-10T23:12:44.820Z
asurveyofdeeplearnin-2022,A Survey of Deep Learning for Mathematical Reasoning,Pan Lu; Liang Qiu; Wenhao Yu; S. Welleck; Kai-Wei Chang,2022,Annual Meeting of the Association for Computational Linguistics,166,https://www.semanticscholar.org/paper/2dbec38fe353ab0e495ad09263389dbc9260824d,http://arxiv.org/pdf/2212.10535,10.48550/arXiv.2212.10535,"Mathematical reasoning is a fundamental aspect of human intelligence and is applicable in various fields, including science, engineering, finance, and everyday life. The development of artificial intelligence (AI) systems capable of solving math problems and proving theorems in language has garnered significant interest in the fields of machine learning and natural language processing. For example, mathematics serves as a testbed for aspects of reasoning that are challenging for powerful deep learning models, driving new algorithmic and modeling advances. On the other hand, recent advances in large-scale neural language models have opened up new benchmarks and opportunities to use deep learning for mathematical reasoning. In this survey paper, we review the key tasks, datasets, and methods at the intersection of mathematical reasoning and deep learning over the past decade. We also evaluate existing benchmarks and methods, and discuss future research directions in this domain.",arxiv:2212.10535,Yes,,2025-11-10T23:12:44.820Z
alertadaptlanguagemo-2022,ALERT: Adapt Language Models to Reasoning Tasks,Ping Yu; Tianlu Wang; O. Yu. Golovneva; Badr AlKhamissi; Gargi Ghosh; Mona T. Diab; Asli Celikyilmaz,2022,Annual Meeting of the Association for Computational Linguistics,20,https://www.semanticscholar.org/paper/95c11cc5820ba32c60d5f2671f6567b9914a4978,https://arxiv.org/pdf/2212.08286,10.48550/arXiv.2212.08286,"Recent advancements in large language models have enabled them to perform well on complex tasks that require step-by-step reasoning with few-shot learning. However, it is unclear whether these models are applying reasoning skills they have learnt during pre-training , or if they are simply memorizing their training corpus at finer granularity and have learnt to better understand their context.To address this question, we introduce {pasted macro ‘OUR’}model, a benchmark and suite of analyses for evaluating reasoning skills of language models. {pasted macro ‘OUR’}model enables comparing pre-trained and finetuned models on complex tasks that require reasoning skills to solve. Our benchmark provides a test bed to asses any language model on fine-grained reasoning skills, which spans over 20 datasets and covers 10 different reasoning skills. By using {pasted macro ‘OUR’}model we further investigate the role of finetuning. Our extensive empirical analysis shows that language models learn more reasoning skills such as textual entailment, abductive reasoning, and analogical reasoning during the finetuning stage compared to pretraining stage. However, we also find that when language models are finetuned they tend to overfit to the prompt template, which hurts the robustness of models causing generalization problems.",arxiv:2212.08286,Yes,,2025-11-10T23:12:44.820Z
anoverviewofvadaloga-2022,An Overview of Vadalog: a System for Reasoning over Large Knowledge Graphs,Luigi Bellomarini; Davide Benedetto; Emanuel Sallinger,2022,Sistemi Evoluti per Basi di Dati,1,https://www.semanticscholar.org/paper/83dc0eca1a453e2970d32923bb48bb84976bd968,,,,,Yes,,2025-11-10T23:12:44.820Z
autoformalizationwit-2022,Autoformalization with Large Language Models,Yuhuai Wu; Albert Qiaochu Jiang; Wenda Li; M. Rabe; Charles Staats; M. Jamnik; Christian Szegedy,2022,Neural Information Processing Systems,220,https://www.semanticscholar.org/paper/c28e95a06dfcf13fc65a1cac83722f53e34f12a5,https://arxiv.org/pdf/2205.12615,10.48550/arXiv.2205.12615,"Autoformalization is the process of automatically translating from natural language mathematics to formal specifications and proofs. A successful autoformalization system could advance the fields of formal verification, program synthesis, and artificial intelligence. While the long-term goal of autoformalization seemed elusive for a long time, we show large language models provide new prospects towards this goal. We make the surprising observation that LLMs can correctly translate a significant portion ($25.3\%$) of mathematical competition problems perfectly to formal specifications in Isabelle/HOL. We demonstrate the usefulness of this process by improving a previously introduced neural theorem prover via training on these autoformalized theorems. Our methodology results in a new state-of-the-art result on the MiniF2F theorem proving benchmark, improving the proof rate from $29.6\%$ to $35.2\%$.",arxiv:2205.12615,Yes,,2025-11-10T23:12:44.820Z
automaticchainofthou-2022,Automatic Chain of Thought Prompting in Large Language Models,Zhuosheng Zhang; Aston Zhang; Mu Li; Alexander J. Smola,2022,International Conference on Learning Representations,779,https://www.semanticscholar.org/paper/90350aa626bed47b02d0c162462e5b0ca82be6b2,,,"Large language models (LLMs) can perform complex reasoning by generating intermediate reasoning steps. Providing these steps for prompting demonstrations is called chain-of-thought (CoT) prompting. CoT prompting has two major paradigms. One leverages a simple prompt like""Let's think step by step""to facilitate step-by-step thinking before answering a question. The other uses a few manual demonstrations one by one, each composed of a question and a reasoning chain that leads to an answer. The superior performance of the second paradigm hinges on the hand-crafting of task-specific demonstrations one by one. We show that such manual efforts may be eliminated by leveraging LLMs with the""Let's think step by step""prompt to generate reasoning chains for demonstrations one by one, i.e., let's think not just step by step, but also one by one. However, these generated chains often come with mistakes. To mitigate the effect of such mistakes, we find that diversity matters for automatically constructing demonstrations. We propose an automatic CoT prompting method: Auto-CoT. It samples questions with diversity and generates reasoning chains to construct demonstrations. On ten public benchmark reasoning tasks with GPT-3, Auto-CoT consistently matches or exceeds the performance of the CoT paradigm that requires manual designs of demonstrations. Code is available at https://github.com/amazon-research/auto-cot",arxiv:2210.03493,Yes,,2025-11-10T23:12:44.820Z
capecorrectiveaction-2022,CAPE: Corrective Actions from Precondition Errors using Large Language Models,S. S. Raman; Vanya Cohen; Eric Rosen; Ifrah Idrees; D. Paulius; Stefanie Tellex,2022,IEEE International Conference on Robotics and Automation,47,https://www.semanticscholar.org/paper/c82d8d80ea68400adb7faebb2f1cff38dd83093a,,10.1109/ICRA57147.2024.10611376,"Extracting knowledge and reasoning from large language models (LLMs) offers a path to designing intelligent robots. Common approaches that leverage LLMs for planning are unable to recover when actions fail and resort to retrying failed actions without resolving the underlying cause. We propose a novel approach (CAPE) that generates corrective actions to resolve precondition errors during planning. CAPE improves the quality of generated plans through few-shot reasoning on action preconditions. Our approach enables embodied agents to execute more tasks than baseline methods while maintaining semantic correctness and minimizing re-prompting. In VirtualHome, CAPE improves a human-annotated plan correctness metric from 28.89% to 49.63% over SayCan, whilst achieving competitive executability. Our improvements transfer to a Boston Dynamics Spot robot initialized with a set of skills (specified in language) and associated preconditions, where CAPE improves correctness by 76.49% with higher executability compared to SayCan. Our approach enables embodied agents to follow natural language commands and robustly recover from failures.",arxiv:2211.09935,Yes,,2025-11-10T23:12:44.820Z
clevrmathadatasetfor-2022,"CLEVR-Math: A Dataset for Compositional Language, Visual and Mathematical Reasoning",Adam Dahlgren Lindström; Savitha Sam Abraham,2022,International Workshop on Neural-Symbolic Learning and Reasoning,80,https://www.semanticscholar.org/paper/74cc3d340039c67bdabaef090d1386fe2c5376ca,http://arxiv.org/pdf/2208.05358,10.48550/arXiv.2208.05358,"We introduce CLEVR-Math, a multi-modal math word problems dataset consisting of simple math word problems involving addition/subtraction, represented partly by a textual description and partly by an image illustrating the scenario. The text describes actions performed on the scene that is depicted in the image. Since the question posed may not be about the scene in the image, but about the state of the scene before or after the actions are applied, the solver envision or imagine the state changes due to these actions. Solving these word problems requires a combination of language, visual and mathematical reasoning. We apply state-of-the-art neural and neuro-symbolic models for visual question answering on CLEVR-Math and empirically evaluate their performances. Our results show how neither method generalise to chains of operations. We discuss the limitations of the two in addressing the task of multi-modal word problem solving.",arxiv:2208.05358,Yes,,2025-11-10T23:12:44.820Z
crosscontaminationac-2022,CROSS-CONTAMINATION: ACCELERATING LARGE LANGUAGE MODELS WITHOUT IMPACTING PERFORMANCE,M. M. Krell; Matej Kosec,2022,,76,https://www.semanticscholar.org/paper/85cac89ba01a07f3dbf6dbb1e0c56067a3105714,,,,,Yes,,2025-11-10T23:12:44.820Z
